ice_sheet,melt_season,geojson,start_date,end_date,status_url,request_code,ngranules_request,description,basin,status,orderID,status_txt,nprocessed,n_links,gran_list_url,order_overview_url,order_summary_url,available_until
GrIS,2019,simplified_GRE_2200_CW.geojson,2019-05-01,2019-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624133,201,98,GrIS_2019_2200_CW,CW,complete,5000005624133,200,98,98,https://n5eil02u.ecs.nsidc.org/esir/5000005624133.txt,https://n5eil02u.ecs.nsidc.org/esir/5000005624133.html,https://n5eil02u.ecs.nsidc.org/esir/5000005624133/requestSummary.txt,2024-07-01 16:31
GrIS,2020,simplified_GRE_2200_CW.geojson,2020-05-01,2020-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624134,201,110,GrIS_2020_2200_CW,CW,complete,5000005624134,200,110,110,https://n5eil02u.ecs.nsidc.org/esir/5000005624134.txt,https://n5eil02u.ecs.nsidc.org/esir/5000005624134.html,https://n5eil02u.ecs.nsidc.org/esir/5000005624134/requestSummary.txt,2024-07-01 16:41
GrIS,2021,simplified_GRE_2200_CW.geojson,2021-05-01,2021-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624135,201,108,GrIS_2021_2200_CW,CW,complete,5000005624135,200,108,108,https://n5eil02u.ecs.nsidc.org/esir/5000005624135.txt,https://n5eil02u.ecs.nsidc.org/esir/5000005624135.html,https://n5eil02u.ecs.nsidc.org/esir/5000005624135/requestSummary.txt,2024-07-01 16:56
GrIS,2022,simplified_GRE_2200_CW.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624136,201,109,GrIS_2022_2200_CW,CW,complete,5000005624136,200,109,109,https://n5eil02u.ecs.nsidc.org/esir/5000005624136.txt,https://n5eil02u.ecs.nsidc.org/esir/5000005624136.html,https://n5eil02u.ecs.nsidc.org/esir/5000005624136/requestSummary.txt,2024-07-01 17:02
GrIS,2023,simplified_GRE_2200_CW.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624137,201,107,GrIS_2023_2200_CW,CW,complete,5000005624137,200,107,107,https://n5eil02u.ecs.nsidc.org/esir/5000005624137.txt,https://n5eil02u.ecs.nsidc.org/esir/5000005624137.html,https://n5eil02u.ecs.nsidc.org/esir/5000005624137/requestSummary.txt,2024-07-01 17:10
GrIS,2019,simplified_GRE_2200_SE.geojson,2019-05-01,2019-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624138,201,116,GrIS_2019_2200_SE,SE,complete,5000005624138,200,116,116,https://n5eil02u.ecs.nsidc.org/esir/5000005624138.txt,https://n5eil02u.ecs.nsidc.org/esir/5000005624138.html,https://n5eil02u.ecs.nsidc.org/esir/5000005624138/requestSummary.txt,2024-07-01 17:23
GrIS,2020,simplified_GRE_2200_SE.geojson,2020-05-01,2020-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624139,201,134,GrIS_2020_2200_SE,SE,complete,5000005624139,200,134,134,https://n5eil02u.ecs.nsidc.org/esir/5000005624139.txt,https://n5eil02u.ecs.nsidc.org/esir/5000005624139.html,https://n5eil02u.ecs.nsidc.org/esir/5000005624139/requestSummary.txt,2024-07-01 17:26
GrIS,2021,simplified_GRE_2200_SE.geojson,2021-05-01,2021-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624140,201,133,GrIS_2021_2200_SE,SE,complete,5000005624140,200,133,133,https://n5eil02u.ecs.nsidc.org/esir/5000005624140.txt,https://n5eil02u.ecs.nsidc.org/esir/5000005624140.html,https://n5eil02u.ecs.nsidc.org/esir/5000005624140/requestSummary.txt,2024-07-01 17:38
GrIS,2022,simplified_GRE_2200_SE.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624141,201,133,GrIS_2022_2200_SE,SE,complete,5000005624141,200,133,133,https://n5eil02u.ecs.nsidc.org/esir/5000005624141.txt,https://n5eil02u.ecs.nsidc.org/esir/5000005624141.html,https://n5eil02u.ecs.nsidc.org/esir/5000005624141/requestSummary.txt,2024-07-01 17:48
GrIS,2023,simplified_GRE_2200_SE.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624142,201,130,GrIS_2023_2200_SE,SE,complete,5000005624142,200,130,130,https://n5eil02u.ecs.nsidc.org/esir/5000005624142.txt,https://n5eil02u.ecs.nsidc.org/esir/5000005624142.html,https://n5eil02u.ecs.nsidc.org/esir/5000005624142/requestSummary.txt,2024-07-01 17:57
